采购订单号,供应商代码,供应商名称,供应商等级,物料代码,物料名称,类型,单位,订单数量,单价,总金额,下单日期,预计交付日期,实际交付日期,状态,交期天数,备注
PO2026059233,SUP006,杭州明远科技,B级,P0092,智能晾衣机,成品,台,50,1276.72,63836,2026/4/22,2026/5/12,,已确认,20,物料生产排程中
PO2026010666,SUP013,青岛海润电子,C级,M0143,电源模块 5V2A v3,原材料,个,5000,95.93,479650,2026/6/14,2026/7/29,,已下达,45,
PO2026025447,SUP023,济南恒泰科技,B级,M0229,变压器 EE13 开关电源,原材料,个,3000,13.32,39960,2026/2/3,2026/2/13,,部分到货,10,
PO2026018821,SUP036,兰州黄河电子,A级,M0127,麦克风 MEMS v2,原材料,个,2000,99.71,199420,2026/2/20,2026/3/17,,待处理,25,
PO2026078122,SUP036,兰州黄河电子,A级,M0150,电解电容 220μF v3,原材料,颗,2000,89.89,179780,2026/4/3,2026/4/21,,生产中,18,关键物料加工中
PO2026063333,SUP021,西安华创科技,A级,P0070,智能台灯 护眼版,成品,台,50,265.88,13294,2026/3/5,2026/3/19,,部分到货,14,
PO2026084661,SUP009,成都科创电子,C级,M0104,USB数据线 Type-C v2,原材料,根,2000,10.5,21000,2026/1/27,2026/2/6,,待处理,10,
PO2026090734,SUP002,东莞鑫盛塑胶,B级,P0066,智能充电宝 20000mAh,成品,台,100,379.5,37950,2026/1/23,2026/3/9,,草稿,45,
PO2026014081,SUP010,重庆渝兴机械,B级,P0025,空调伴侣,成品,个,1000,613.59,613590,2026/5/9,2026/5/19,2026/5/17,已发货,10,国内转运途中
PO2026070158,SUP002,东莞鑫盛塑胶,B级,P0006,智能灯带 2m,成品,条,500,422.16,211080,2026/5/6,2026/6/5,,生产中,30,定制件制造阶段
PO2026061865,SUP026,沈阳航天电子,B级,M0206,钽电容 47μF 16V,原材料,颗,500,12.19,6095,2026/5/8,2026/5/26,,已确认,18,物料生产排程中
PO2026059818,SUP018,无锡精密机械,A级,M0025,贴片电阻 1kΩ,原材料,颗,1000,151.12,151120,2026/3/15,2026/4/14,,部分到货,30,
PO2026071228,SUP010,重庆渝兴机械,B级,M0223,连接器 HDMI接口,原材料,个,1000,12.57,12570,2026/4/30,2026/5/30,2026/6/2,已发货,30,物流运输中-海运
PO2026020306,SUP018,无锡精密机械,A级,M0175,锂电池 18650 v3,半成品,节,2000,46.57,93140,2026/1/10,2026/1/20,,部分发货,10,
PO2026012951,SUP020,福州东南电子,B级,M0268,石墨片 0.025mm 导热,原材料,片,5000,16.11,80550,2026/4/2,2026/5/2,,已确认,30,质量检验标准已确认
PO2026031492,SUP034,呼和浩特北方电子,C级,P0074,智能烤箱 家用版,成品,台,500,782.07,391035,2026/5/19,2026/6/9,,已发货,21,国内转运途中
PO2026109440,SUP013,青岛海润电子,C级,M0112,锂电池 聚合物3000mAh v2,原材料,块,3000,115.67,347010,2026/3/12,2026/3/27,,已下达,15,
PO2026101039,SUP003,上海精密机械,A级,M0273,天线支架 WiFi内置,原材料,个,1000,11.2,11200,2026/3/17,2026/4/7,,生产中,21,定制件制造阶段
PO2026024977,SUP017,宁波华通电子,B级,M0156,晶振 32.768kHz v3,半成品,颗,500,138.5,69250,2026/2/27,2026/3/27,,部分到货,28,
PO2026083799,SUP003,上海精密机械,A级,M0194,PC透明罩 v4,半成品,个,1500,21.89,32835,2026/1/16,2026/2/6,,已确认,21,质量检验标准已确认
PO2026063650,SUP030,贵阳西南科技,C级,P0095,智能燃气报警器,成品,台,500,212.36,106180,2026/4/11,2026/5/16,,已下达,35,
PO2026093569,SUP017,宁波华通电子,B级,P0035,智能投影仪,成品,台,100,2962.92,296292,2026/1/5,2026/1/10,,已下达,5,
PO2026102719,SUP032,南宁南国电子,C级,P0029,智能摄像头 室外,成品,台,500,1121.24,560620,2026/3/29,2026/4/8,2026/4/16,已发货,10,国内转运途中
PO2026111285,SUP005,苏州佳美电子,A级,M0163,包装彩盒(小) v3,半成品,个,500,47.17,23585,2026/4/20,2026/5/10,,已确认,20,质量检验标准已确认
PO2026018570,SUP027,石家庄华北科技,C级,P0012,智能网关 Mini,成品,台,50,431.07,21553.5,2026/4/7,2026/4/25,2026/5/1,已完成,18,已转入可用库存
PO2026088226,SUP011,天津北方电子,A级,P0047,智能洗碗机,成品,台,800,1017.52,814016,2026/4/5,2026/5/20,,已确认,45,供应商已确认交期
PO2026092143,SUP037,银川西夏科技,B级,P0064,智能手表 Sport,成品,台,100,1675.64,167564,2026/3/26,2026/4/9,,部分发货,14,
PO2026014925,SUP019,合肥创新科技,C级,P0059,智能门铃 视频版,成品,台,800,1600.03,1280024,2026/6/26,2026/7/8,2026/7/8,已完成,12,批次检验通过
PO2026093253,SUP017,宁波华通电子,B级,P0068,智能鼠标 静音版,成品,台,300,1368.97,410691,2026/4/10,2026/5/5,2026/5/6,已发货,25,国内转运途中
PO2026059948,SUP026,沈阳航天电子,B级,M0272,屏蔽罩 铜镍合金 冲压,原材料,个,500,10.91,5455,2026/4/14,2026/5/19,,已确认,35,供应商已确认交期
PO2026043004,SUP036,兰州黄河电子,A级,P0085,智能筋膜枪,成品,台,800,1726.95,1381560,2026/1/20,2026/2/4,,部分到货,15,
PO2026040364,SUP002,东莞鑫盛塑胶,B级,M0246,WiFi模块 RTL8822CS,原材料,个,2000,24.51,49020,2026/1/27,2026/2/21,,草稿,25,
PO2026058633,SUP032,南宁南国电子,C级,P0092,智能晾衣机,成品,台,500,1174.39,587195,2026/1/6,2026/1/13,,已确认,7,物料生产排程中
PO2026093702,SUP018,无锡精密机械,A级,M0123,RFID标签 无源 v2,原材料,个,5000,29.73,148650,2026/2/15,2026/3/12,,生产中,25,供应商正在生产
PO2026104121,SUP018,无锡精密机械,A级,M0178,继电器 5V v3,半成品,个,200,96.43,19286,2026/2/21,2026/3/28,,生产中,35,定制件制造阶段
PO2026091771,SUP032,南宁南国电子,C级,M0156,晶振 32.768kHz v3,半成品,颗,2000,124.61,249220,2026/3/31,2026/4/5,,生产中,5,定制件制造阶段
PO2026053644,SUP009,成都科创电子,C级,M0270,泡棉胶带 双面 1mm厚,原材料,卷,500,36.29,18145,2026/6/2,2026/6/17,2026/6/25,已发货,15,海关报关处理中
PO2026017263,SUP028,太原重工机械,B级,M0261,ABS外壳 笔记本A面 14寸,原材料,个,2000,81.1,162200,2026/3/27,2026/4/11,,草稿,15,
PO2026063115,SUP021,西安华创科技,A级,P0100,智能遥控器 万能版,成品,台,300,1263.81,379143,2026/6/13,2026/7/11,2026/7/8,已完成,28,已转入可用库存
PO2026113604,SUP029,南昌华翔电子,A级,M0201,贴片电容 0402 100nF,原材料,颗,1000,11.15,11150,2026/4/10,2026/4/17,,已确认,7,供应商已确认交期
PO2026057730,SUP006,杭州明远科技,B级,M0144,电源模块 12V1A v3,原材料,个,1500,117.81,176715,2026/1/24,2026/3/10,,生产中,45,定制件制造阶段
PO2026042455,SUP021,西安华创科技,A级,P0016,温湿度传感器,成品,个,300,616.68,185004,2026/1/17,2026/2/14,,已确认,28,供应商已确认交期
PO2026122561,SUP017,宁波华通电子,B级,P0072,智能空气净化器,成品,台,800,482.32,385856,2026/3/19,2026/4/9,,已确认,21,物料生产排程中
PO2026088643,SUP029,南昌华翔电子,A级,M0083,LED灯珠 暖白3000K v2,原材料,颗,3000,34.85,104550,2026/5/7,2026/5/27,,已下达,20,
PO2026071120,SUP026,沈阳航天电子,B级,M0134,FPC柔性排线 v3,原材料,根,500,71.73,35865,2026/6/21,2026/7/5,2026/7/6,已发货,14,海关报关处理中
PO2026010987,SUP010,重庆渝兴机械,B级,M0032,MOSFET NMOS,原材料,颗,1500,71.77,107655,2026/5/11,2026/6/15,,已下达,35,
PO2026115408,SUP028,太原重工机械,B级,P0008,智能插座 电量版,成品,个,1000,274.63,274630,2026/5/14,2026/5/26,,部分到货,12,
PO2026097764,SUP031,昆明昆电科技,B级,M0245,蓝牙模块 RTL8762C,原材料,个,2000,11.49,22980,2026/1/1,2026/1/11,,已下达,10,
PO2026081990,SUP023,济南恒泰科技,B级,M0145,电源模块 24V2A v3,原材料,个,500,20.46,10230,2026/4/26,2026/5/10,,部分到货,14,
PO2026012093,SUP011,天津北方电子,A级,M0273,天线支架 WiFi内置,原材料,个,2000,12.96,25920,2026/6/15,2026/7/20,,生产中,35,供应商正在生产
PO2026062963,SUP015,长沙中联科技,B级,M0292,双面胶 PET透明 0.1mm,原材料,卷,3000,13.96,41880,2026/4/3,2026/4/21,,已下达,18,
PO2026064126,SUP017,宁波华通电子,B级,M0175,锂电池 18650 v3,半成品,节,200,40.52,8104,2026/3/20,2026/4/14,,部分到货,25,
PO2026099379,SUP029,南昌华翔电子,A级,M0127,麦克风 MEMS v2,原材料,个,1500,116.19,174285,2026/3/26,2026/4/7,,已确认,12,物料生产排程中
PO2026052778,SUP004,广州恒达金属,C级,M0093,晶振 24MHz v2,原材料,颗,5000,40.61,203050,2026/4/23,2026/4/28,,已确认,5,供应商已确认交期
PO2026058109,SUP023,济南恒泰科技,B级,M0204,电解电容 470μF 16V,原材料,颗,2500,13.13,32825,2026/6/28,2026/7/10,,部分到货,12,
PO2026120184,SUP036,兰州黄河电子,A级,M0035,包装彩盒(小),原材料,个,3000,77.8,233400,2026/4/9,2026/5/14,,部分发货,35,
PO2026102694,SUP004,广州恒达金属,C级,M0229,变压器 EE13 开关电源,原材料,个,1500,13.07,19605,2026/5/11,2026/6/1,,已确认,21,质量检验标准已确认
PO2026122405,SUP029,南昌华翔电子,A级,M0266,不锈钢螺丝 M2.5*6 圆头,原材料,颗,500,13.05,6525,2026/4/1,2026/5/6,,部分发货,35,
PO2026044447,SUP018,无锡精密机械,A级,P0034,智能扫地机器人,成品,台,100,1657.88,165788,2026/5/30,2026/6/24,,部分发货,25,
PO2026083934,SUP021,西安华创科技,A级,M0282,标签纸 条码标签 50x30mm,原材料,卷,1500,21.04,31560,2026/2/15,2026/3/22,,已确认,35,质量检验标准已确认
PO2026034253,SUP001,深圳华腾电子,A级,M0275,滑轨 抽屉滑轨 200mm,原材料,套,1500,23.3,34950,2026/5/12,2026/6/2,,已确认,21,质量检验标准已确认
PO2026129142,SUP003,上海精密机械,A级,P0026,窗帘电机,成品,台,500,799.26,399630,2026/4/13,2026/4/25,2026/5/2,已完成,12,已转入可用库存
PO2026037990,SUP020,福州东南电子,B级,M0085,电解电容 100μF v2,原材料,颗,2000,67.59,135180,2026/1/27,2026/2/3,,已确认,7,物料生产排程中
PO2026097473,SUP031,昆明昆电科技,B级,M0100,珍珠棉内托 v2,原材料,个,5000,136.34,681700,2026/1/22,2026/2/6,2026/2/9,已完成,15,已转入可用库存
PO2026031065,SUP032,南宁南国电子,C级,P0075,智能扫地机器人,成品,台,100,531.38,53138,2026/5/2,2026/6/16,,待处理,45,
PO2026128644,SUP032,南宁南国电子,C级,P0059,智能门铃 视频版,成品,台,100,1485.89,148589,2026/1/6,2026/2/5,,部分到货,30,
PO2026041235,SUP008,武汉华工科技,B级,M0292,双面胶 PET透明 0.1mm,原材料,卷,2000,14.13,28260,2026/1/31,2026/2/18,,已下达,18,
PO2026126507,SUP035,乌鲁木齐天山科技,B级,P0017,人体感应器 PIR,成品,个,500,871,435500,2026/6/14,2026/7/14,,生产中,30,定制件制造阶段
PO2026072823,SUP005,苏州佳美电子,A级,P0080,智能花盆 自动浇水,成品,台,500,1580.49,790245,2026/3/21,2026/4/10,,生产中,20,关键物料加工中
PO2026112972,SUP017,宁波华通电子,B级,M0065,ABS塑料外壳 v2,原材料,个,2000,49.92,99840,2026/5/22,2026/6/9,,生产中,18,供应商正在生产
PO2026117469,SUP026,沈阳航天电子,B级,M0053,螺丝 M3*8 不锈钢,原材料,颗,5000,91.26,456300,2026/6/13,2026/6/27,,生产中,14,供应商正在生产
PO2026105887,SUP010,重庆渝兴机械,B级,M0236,LED灯珠 红色 0603,原材料,颗,1500,11.87,17805,2026/4/5,2026/5/5,,已下达,30,
PO2026062480,SUP033,海口南海科技,B级,P0006,智能灯带 2m,成品,条,50,477.22,23861,2026/1/7,2026/2/11,,部分到货,35,
PO2026051151,SUP029,南昌华翔电子,A级,M0115,继电器 12V v2,原材料,个,1000,51.48,51480,2026/3/10,2026/3/20,,已取消,10,
PO2026081571,SUP023,济南恒泰科技,B级,M0034,包装彩盒(中),原材料,个,1500,87.7,131550,2026/2/17,2026/4/3,,已下达,45,
PO2026029132,SUP037,银川西夏科技,B级,M0058,导热硅脂,原材料,g,1500,124.48,186720,2026/1/24,2026/2/28,,部分到货,35,
PO2026017389,SUP028,太原重工机械,B级,M0014,LoRa模块,原材料,个,2000,27.21,54420,2026/4/20,2026/5/18,,部分到货,28,
PO2026023433,SUP026,沈阳航天电子,B级,M0050,继电器 5V,原材料,个,5000,11.39,56950,2026/3/4,2026/3/25,,已下达,21,
PO2026074850,SUP023,济南恒泰科技,B级,M0083,LED灯珠 暖白3000K v2,原材料,颗,1500,40.5,60750,2026/2/27,2026/3/14,,已下达,15,
PO2026122865,SUP006,杭州明远科技,B级,P0078,智能保险柜,成品,台,50,734.16,36708,2026/3/28,2026/4/11,,部分发货,14,
PO2026085366,SUP005,苏州佳美电子,A级,P0053,智能路由器 AX,成品,台,200,569.3,113860,2026/6/21,2026/7/16,,已确认,25,供应商已确认交期
PO2026107357,SUP003,上海精密机械,A级,M0242,摄像头模组 4K 自动对焦,原材料,个,1000,138.06,138060,2026/5/3,2026/5/8,,已确认,5,物料生产排程中
PO2026092064,SUP036,兰州黄河电子,A级,M0190,扬声器 3W v3,半成品,个,500,16.8,8400,2026/1/18,2026/2/1,2026/2/2,已发货,14,海关报关处理中
PO2026066363,SUP026,沈阳航天电子,B级,M0099,包装彩盒(小) v2,原材料,个,5000,138.66,693300,2026/5/11,2026/6/1,,部分发货,21,
PO2026047159,SUP028,太原重工机械,B级,M0257,压力传感器 BMP280,原材料,个,1000,14.11,14110,2026/3/18,2026/4/15,,已确认,28,物料生产排程中
PO2026059496,SUP008,武汉华工科技,B级,M0260,陀螺仪 L3G4200D,原材料,个,500,23.1,11550,2026/2/19,2026/3/26,,已下达,35,
PO2026077348,SUP013,青岛海润电子,C级,P0081,智能血压计,成品,台,500,841.79,420895,2026/1/7,2026/1/25,2026/1/26,已发货,18,物流运输中-海运
PO2026039512,SUP010,重庆渝兴机械,B级,M0151,钽电容 10μF v3,半成品,颗,1500,15.26,22890,2026/2/5,2026/3/12,,待处理,35,
PO2026102866,SUP029,南昌华翔电子,A级,M0137,MCU STM32F103 v3,原材料,片,1500,135.62,203430,2026/6/14,2026/7/19,2026/7/22,已发货,35,物流运输中-海运
PO2026107919,SUP011,天津北方电子,A级,M0278,彩盒 笔记本包装盒 14寸,原材料,个,500,19.32,9660,2026/2/23,2026/3/16,,生产中,21,关键物料加工中
PO2026021547,SUP002,东莞鑫盛塑胶,B级,M0071,ARM Cortex-A53芯片 v2,原材料,片,1000,120.25,120250,2026/6/1,2026/6/26,,生产中,25,定制件制造阶段
PO2026109762,SUP007,南京盛达光电,A级,M0021,电解电容 100μF,原材料,颗,1500,69.27,103905,2026/6/20,2026/7/25,,部分到货,35,
PO2026065725,SUP032,南宁南国电子,C级,M0153,贴片电阻 1kΩ v3,半成品,颗,1000,40.76,40760,2026/5/24,2026/6/28,,待处理,35,
PO2026116362,SUP003,上海精密机械,A级,M0263,PC罩 触摸板盖板,原材料,个,1000,19.74,19740,2026/1/8,2026/1/13,2026/1/21,已发货,5,海关报关处理中
PO2026056882,SUP002,东莞鑫盛塑胶,B级,M0267,铜散热片 VC均热板,原材料,片,500,201.42,100710,2026/2/21,2026/2/28,,已发货,7,海关报关处理中
PO2026043937,SUP001,深圳华腾电子,A级,M0214,肖特基二极管 SS34,原材料,颗,1500,11.98,17970,2026/2/20,2026/3/2,,待处理,10,
PO2026021962,SUP018,无锡精密机械,A级,M0177,纽扣电池 CR2032 v3,半成品,颗,1500,19.86,29790,2026/6/11,2026/7/11,,部分到货,30,
PO2026102131,SUP006,杭州明远科技,B级,M0296,数据线 USB-C to C 1m,原材料,根,5000,12.55,62750,2026/6/2,2026/7/2,2026/7/8,已完成,30,已转入可用库存
PO2026110774,SUP005,苏州佳美电子,A级,P0009,智能插排 4位,成品,个,100,677.47,67747,2026/1/17,2026/2/6,,部分到货,20,
PO2026069323,SUP002,东莞鑫盛塑胶,B级,M0066,PC透明罩 v2,原材料,个,5000,147.67,738350,2026/5/27,2026/6/10,,生产中,14,定制件制造阶段
PO2026046520,SUP037,银川西夏科技,B级,M0013,Zigbee模块,原材料,个,500,155.72,77860,2026/1/20,2026/2/7,2026/2/5,已发货,18,海关报关处理中
PO2026063551,SUP027,石家庄华北科技,C级,P0075,智能扫地机器人,成品,台,50,565.09,28254.5,2026/3/16,2026/3/28,,部分到货,12,
PO2026063205,SUP018,无锡精密机械,A级,P0036,智能行车记录仪,成品,台,500,547.16,273580,2026/2/2,2026/2/7,,草稿,5,
PO2026106784,SUP008,武汉华工科技,B级,M0018,LED灯珠 RGB,原材料,颗,1500,27.22,40830,2026/2/21,2026/3/28,,部分到货,35,
PO2026015879,SUP012,大连远东科技,B级,M0113,纽扣电池 CR2032 v2,原材料,颗,5000,114.81,574050,2026/4/21,2026/5/21,,已下达,30,
PO2026059185,SUP036,兰州黄河电子,A级,M0280,保修卡 三联单,原材料,张,3000,13.4,40200,2026/5/19,2026/5/24,2026/5/30,已发货,5,物流运输中-海运
PO2026080708,SUP027,石家庄华北科技,C级,M0136,ARM Cortex-A35芯片 v3,原材料,片,1500,95.81,143715,2026/6/29,2026/7/14,,已确认,15,供应商已确认交期
PO2026026628,SUP014,厦门恒信光电,A级,M0292,双面胶 PET透明 0.1mm,原材料,卷,1000,15.18,15180,2026/1/9,2026/2/23,,已确认,45,质量检验标准已确认
PO2026117381,SUP019,合肥创新科技,C级,P0079,智能鱼缸,成品,台,50,1309.39,65469.5,2026/6/13,2026/7/8,,已下达,25,
PO2026049287,SUP001,深圳华腾电子,A级,M0051,继电器 12V,原材料,个,1000,31.75,31750,2026/5/29,2026/6/5,,部分发货,7,
PO2026078153,SUP002,东莞鑫盛塑胶,B级,M0226,插座 DC电源座 5.5x2.1mm,原材料,个,2500,13.1,32750,2026/4/3,2026/4/13,,待处理,10,
PO2026095444,SUP033,海口南海科技,B级,P0047,智能洗碗机,成品,台,1000,1195.3,1195300,2026/5/16,2026/6/15,,草稿,30,
PO2026123099,SUP017,宁波华通电子,B级,P0011,智能网关 Pro,成品,台,100,675.25,67525,2026/1/9,2026/2/13,,生产中,35,关键物料加工中
PO2026118702,SUP010,重庆渝兴机械,B级,P0001,智能音箱 A,成品,台,200,370,74000,2026/5/19,2026/7/3,,部分到货,45,
PO2026088421,SUP035,乌鲁木齐天山科技,B级,M0103,电源线 3m v2,原材料,根,500,57.27,28635,2026/1/7,2026/1/19,,生产中,12,关键物料加工中
PO2026041353,SUP004,广州恒达金属,C级,M0079,电源模块 5V2A v2,原材料,个,1500,37.28,55920,2026/5/23,2026/6/10,,生产中,18,供应商正在生产
PO2026125012,SUP023,济南恒泰科技,B级,M0266,不锈钢螺丝 M2.5*6 圆头,原材料,颗,1000,12.58,12580,2026/4/27,2026/5/11,,生产中,14,关键物料加工中
PO2026091273,SUP017,宁波华通电子,B级,M0097,包装彩盒(大) v2,原材料,个,500,120.48,60240,2026/3/31,2026/4/30,,部分到货,30,
PO2026050234,SUP004,广州恒达金属,C级,M0164,珍珠棉内托 v3,半成品,个,2000,38.07,76140,2026/1/26,2026/2/7,,部分发货,12,
PO2026126329,SUP032,南宁南国电子,C级,M0039,电源线 3m,原材料,根,500,55.73,27865,2026/3/12,2026/4/2,2026/4/9,已发货,21,国内转运途中
PO2026022215,SUP013,青岛海润电子,C级,P0050,智能空调,成品,台,800,2639.47,2111576,2026/1/27,2026/2/1,2026/2/8,已完成,5,批次检验通过
PO2026062711,SUP021,西安华创科技,A级,M0163,包装彩盒(小) v3,半成品,个,500,54.86,27430,2026/4/9,2026/4/19,,已确认,10,质量检验标准已确认
PO2026067068,SUP018,无锡精密机械,A级,M0041,传感器模块 温湿度,原材料,个,1500,104.58,156870,2026/2/9,2026/3/9,2026/3/17,已完成,28,已转入可用库存
PO2026108882,SUP004,广州恒达金属,C级,M0229,变压器 EE13 开关电源,原材料,个,500,13.23,6615,2026/1/15,2026/2/9,,已下达,25,
PO2026031986,SUP010,重庆渝兴机械,B级,M0171,传感器模块 陀螺仪 v3,半成品,个,1500,110.43,165645,2026/5/8,2026/6/12,,生产中,35,供应商正在生产
PO2026021577,SUP033,海口南海科技,B级,M0158,整流二极管 v3,半成品,颗,500,69.03,34515,2026/6/30,2026/7/5,,部分到货,5,
PO2026125617,SUP009,成都科创电子,C级,P0079,智能鱼缸,成品,台,800,1430.35,1144280,2026/1/20,2026/1/30,,待处理,10,
PO2026079234,SUP034,呼和浩特北方电子,C级,M0153,贴片电阻 1kΩ v3,半成品,颗,200,50.31,10062,2026/6/13,2026/6/18,,草稿,5,
PO2026022699,SUP014,厦门恒信光电,A级,P0087,智能香薰机,成品,台,100,415.22,41522,2026/1/6,2026/1/13,,已确认,7,物料生产排程中
PO2026106252,SUP024,哈尔滨北方机械,C级,M0173,显示屏 TFT 2.4寸 v3,半成品,块,2000,22.29,44580,2026/6/16,2026/7/6,2026/7/11,已完成,20,批次检验通过
PO2026123149,SUP033,海口南海科技,B级,M0199,ARM Cortex-A53芯片 v4,半成品,片,800,83.26,66608,2026/3/3,2026/3/17,,已确认,14,质量检验标准已确认
PO2026032871,SUP002,东莞鑫盛塑胶,B级,M0259,加速度传感器 MPU6050,原材料,个,3000,18.9,56700,2026/6/19,2026/7/14,,部分到货,25,
PO2026063273,SUP037,银川西夏科技,B级,M0263,PC罩 触摸板盖板,原材料,个,5000,23.11,115550,2026/3/29,2026/4/28,,部分到货,30,
PO2026014430,SUP034,呼和浩特北方电子,C级,M0083,LED灯珠 暖白3000K v2,原材料,颗,3000,32.2,96600,2026/5/20,2026/6/1,,已确认,12,供应商已确认交期
PO2026067301,SUP012,大连远东科技,B级,M0252,MCU单片机 ESP32-WROOM,原材料,块,500,37.03,18515,2026/5/9,2026/5/29,,已下达,20,
PO2026052004,SUP024,哈尔滨北方机械,C级,M0026,贴片电阻 100Ω,原材料,颗,2500,121.79,304475,2026/3/31,2026/4/30,,生产中,30,关键物料加工中
PO2026108339,SUP006,杭州明远科技,B级,P0068,智能鼠标 静音版,成品,台,200,1173.25,234650,2026/1/24,2026/2/14,,已确认,21,质量检验标准已确认
PO2026066031,SUP028,太原重工机械,B级,M0086,电解电容 220μF v2,原材料,颗,1500,44.52,66780,2026/3/23,2026/4/2,,已下达,10,
PO2026083249,SUP036,兰州黄河电子,A级,M0066,PC透明罩 v2,原材料,个,1500,124.29,186435,2026/5/15,2026/6/4,2026/6/10,已完成,20,批次检验通过
PO2026090979,SUP011,天津北方电子,A级,P0040,智能充电座,成品,个,50,162.63,8131.5,2026/6/8,2026/6/15,,部分到货,7,
PO2026082824,SUP021,西安华创科技,A级,M0197,PCB副板 v4,半成品,块,200,85.6,17120,2026/3/4,2026/4/3,,已确认,30,物料生产排程中
PO2026015118,SUP022,郑州中原电子,C级,P0021,水浸传感器,成品,个,1000,328.74,328740,2026/1/29,2026/2/10,,待处理,12,
PO2026066222,SUP024,哈尔滨北方机械,C级,M0071,ARM Cortex-A53芯片 v2,原材料,片,1000,106.73,106730,2026/1/16,2026/1/26,,已确认,10,供应商已确认交期
PO2026023599,SUP001,深圳华腾电子,A级,M0009,MCU STM32F103,原材料,片,500,85.01,42505,2026/1/17,2026/1/31,,已确认,14,物料生产排程中
PO2026053030,SUP019,合肥创新科技,C级,M0043,传感器模块 陀螺仪,原材料,个,1000,21.11,21110,2026/5/3,2026/5/24,,部分到货,21,
PO2026110456,SUP022,郑州中原电子,C级,M0191,麦克风 MEMS v3,半成品,个,2000,71.44,142880,2026/2/5,2026/3/7,,已下达,30,
PO2026087771,SUP009,成都科创电子,C级,M0013,Zigbee模块,原材料,个,2000,126.03,252060,2026/3/20,2026/4/14,,生产中,25,供应商正在生产
PO2026107751,SUP034,呼和浩特北方电子,C级,P0014,智能门锁 Pro,成品,把,300,985.26,295578,2026/3/31,2026/4/18,,部分到货,18,
PO2026075009,SUP005,苏州佳美电子,A级,M0040,USB数据线 Type-C,原材料,根,1000,11.8,11800,2026/4/25,2026/5/25,,生产中,30,关键物料加工中
PO2026056232,SUP011,天津北方电子,A级,M0232,保险丝 自恢复 1A,原材料,个,3000,11.84,35520,2026/4/14,2026/4/26,,已下达,12,
PO2026078291,SUP003,上海精密机械,A级,M0014,LoRa模块,原材料,个,2000,24.75,49500,2026/1/28,2026/2/22,2026/2/19,已发货,25,国内转运途中
PO2026115836,SUP012,大连远东科技,B级,P0026,窗帘电机,成品,台,100,672.75,67275,2026/1/17,2026/1/27,2026/1/31,已完成,10,质检合格入库
PO2026014620,SUP009,成都科创电子,C级,M0073,MCU STM32F103 v2,原材料,片,3000,121.57,364710,2026/5/26,2026/6/25,,已下达,30,
PO2026112266,SUP036,兰州黄河电子,A级,M0108,显示屏 OLED 0.96寸 v2,原材料,块,500,45.93,22965,2026/3/1,2026/3/13,,待处理,12,
PO2026027068,SUP031,昆明昆电科技,B级,M0208,电感线圈 10μH 绕线,原材料,颗,1500,12.53,18795,2026/4/16,2026/5/11,,生产中,25,定制件制造阶段
PO2026081876,SUP034,呼和浩特北方电子,C级,M0058,导热硅脂,原材料,g,5000,146.48,732400,2026/3/26,2026/4/2,2026/4/6,已发货,7,国内转运途中
PO2026097433,SUP016,佛山顺德塑胶,A级,M0066,PC透明罩 v2,原材料,个,2500,121.51,303775,2026/2/20,2026/3/12,,待处理,20,
PO2026116045,SUP026,沈阳航天电子,B级,M0265,不锈钢螺丝 M2*4 十字,原材料,颗,500,11.05,5525,2026/3/19,2026/3/29,,已下达,10,
PO2026034954,SUP033,海口南海科技,B级,M0174,触摸面板 电容式 v3,半成品,块,1500,12.66,18990,2026/3/15,2026/4/14,,已确认,30,供应商已确认交期
PO2026103384,SUP005,苏州佳美电子,A级,M0229,变压器 EE13 开关电源,原材料,个,5000,11.34,56700,2026/6/15,2026/7/6,,生产中,21,关键物料加工中
PO2026018506,SUP002,东莞鑫盛塑胶,B级,P0044,智能压力锅,成品,台,200,706.36,141272,2026/4/28,2026/5/26,,待处理,28,
PO2026088661,SUP020,福州东南电子,B级,M0133,PCB副板 v3,原材料,块,1500,117.93,176895,2026/2/9,2026/3/11,,生产中,30,关键物料加工中
PO2026058339,SUP017,宁波华通电子,B级,P0009,智能插排 4位,成品,个,100,659.47,65947,2026/3/1,2026/3/21,,部分到货,20,
PO2026046653,SUP028,太原重工机械,B级,M0200,ARM Cortex-A35芯片 v4,半成品,片,200,59,11800,2026/5/18,2026/6/22,,已确认,35,供应商已确认交期
PO2026127514,SUP008,武汉华工科技,B级,M0060,NFC天线,原材料,个,2500,113.39,283475,2026/4/15,2026/4/22,,生产中,7,关键物料加工中
PO2026128025,SUP029,南昌华翔电子,A级,P0091,智能新风机,成品,台,800,1448.42,1158736,2026/4/25,2026/5/15,,已确认,20,供应商已确认交期
PO2026077179,SUP019,合肥创新科技,C级,M0266,不锈钢螺丝 M2.5*6 圆头,原材料,颗,1500,12.6,18900,2026/4/29,2026/5/11,,部分发货,12,
PO2026041677,SUP034,呼和浩特北方电子,C级,P0028,智能摄像头 室内,成品,台,1000,905.18,905180,2026/5/14,2026/5/21,,已确认,7,物料生产排程中
PO2026085360,SUP008,武汉华工科技,B级,M0146,LED灯珠 RGB v3,原材料,颗,5000,115.22,576100,2026/3/27,2026/4/10,,部分到货,14,
